date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1991-08-21,,Stuttgart,3–0,Hansa Rostock,,,3.0,0.0
,,,,,,,,
1991-08-23,,Dresden,0–2,Bayern Munich,,,0.0,2.0
1991-08-24,,Schalke 04,5–2,Dortmund,,,5.0,2.0
1991-08-24,,Werder Bremen,2–2,Wattenscheid,,,2.0,2.0
1991-08-24,,Karlsruher,0–0,Leverkusen,,,0.0,0.0
1991-08-24,,Köln,1–1,Eint Frankfurt,,,1.0,1.0
1991-08-24,,Düsseldorf,0–3,Stuttgart,,,0.0,3.0
1991-08-24,,Kaiserslautern,0–0,Hamburger SV,,,0.0,0.0
1991-08-24,,Hansa Rostock,2–1,M'Gladbach,,,2.0,1.0
1991-08-25,,Bochum,0–3,Nürnberg,,,0.0,3.0
,,,,,,,,
1991-08-27,,MSV Duisburg,6–2,Karlsruher,,,6.0,2.0
1991-08-27,,Wattenscheid,0–0,Hansa Rostock,,,0.0,0.0
1991-08-27,,Stuttgart,1–0,Schalke 04,,,1.0,0.0
1991-08-27,,Leverkusen,0–0,Werder Bremen,,,0.0,0.0
1991-08-27,,M'Gladbach,3–1,Düsseldorf,,,3.0,1.0
1991-08-28,,Nürnberg,4–0,Köln,,,4.0,0.0
1991-08-28,,Bayern Munich,0–2,Bochum,,,0.0,2.0
1991-08-28,,Dortmund,4–0,Dresden,,,4.0,0.0
1991-08-28,,Eint Frankfurt,2–0,Kaiserslautern,,,2.0,0.0
1991-08-28,,Hamburger SV,0–3,S'gart Kickers,,,0.0,3.0
,,,,,,,,
1991-08-30,,Werder Bremen,5–1,MSV Duisburg,,,5.0,1.0
1991-08-30,,Düsseldorf,4–3,Wattenscheid,,,4.0,3.0
1991-08-30,,Schalke 04,3–1,M'Gladbach,,,3.0,1.0
1991-08-31,,Dresden,1–0,Stuttgart,,,1.0,0.0
1991-08-31,,Köln,1–1,Bayern Munich,,,1.0,1.0
1991-08-31,,S'gart Kickers,1–1,Karlsruher,,,1.0,1.0
1991-08-31,,Bochum,0–0,Dortmund,,,0.0,0.0
1991-08-31,,Hansa Rostock,2–2,Leverkusen,,,2.0,2.0
1991-08-31,,Kaiserslautern,3–0,Nürnberg,,,3.0,0.0
1991-08-31,,Hamburger SV,2–1,Eint Frankfurt,,,2.0,1.0
,,,,,,,,
1991-09-06,,Dortmund,3–1,Köln,,,3.0,1.0
1991-09-06,,Eint Frankfurt,6–1,S'gart Kickers,,,6.0,1.0
1991-09-07,,Stuttgart,4–1,Bochum,,,4.0,1.0
1991-09-07,,Bayern Munich,1–0,Kaiserslautern,,,1.0,0.0
1991-09-07,,Nürnberg,1–1,Hamburger SV,,,1.0,1.0
1991-09-07,,Leverkusen,1–1,Düsseldorf,,,1.0,1.0
1991-09-07,,Wattenscheid,1–2,Schalke 04,,,1.0,2.0
1991-09-07,,M'Gladbach,1–0,Dresden,,,1.0,0.0
1991-09-07,,Karlsruher,2–1,Werder Bremen,,,2.0,1.0
1991-09-08,,MSV Duisburg,2–0,Hansa Rostock,,,2.0,0.0
,,,,,,,,
1991-09-13,,Bochum,3–1,M'Gladbach,,,3.0,1.0
1991-09-13,,Düsseldorf,1–1,MSV Duisburg,,,1.0,1.0
1991-09-13,,Hansa Rostock,1–2,Karlsruher,,,1.0,2.0
1991-09-14,,Schalke 04,0–0,Leverkusen,,,0.0,0.0
1991-09-14,,Hamburger SV,1–0,Bayern Munich,,,1.0,0.0
1991-09-14,,Kaiserslautern,4–0,Dortmund,,,4.0,0.0
1991-09-14,,S'gart Kickers,2–1,Werder Bremen,,,2.0,1.0
1991-09-14,,Köln,1–1,Stuttgart,,,1.0,1.0
1991-09-14,,Dresden,3–0,Wattenscheid,,,3.0,0.0
1991-09-14,,Eint Frankfurt,2–2,Nürnberg,,,2.0,2.0
,,,,,,,,
1991-09-20,,Karlsruher,1–5,Düsseldorf,,,1.0,5.0
1991-09-20,,Wattenscheid,1–2,Bochum,,,1.0,2.0
1991-09-20,,M'Gladbach,2–2,Köln,,,2.0,2.0
1991-09-21,,Werder Bremen,1–0,Hansa Rostock,,,1.0,0.0
1991-09-21,,Nürnberg,2–0,S'gart Kickers,,,2.0,0.0
1991-09-21,,Dortmund,2–2,Hamburger SV,,,2.0,2.0
1991-09-21,,Bayern Munich,3–3,Eint Frankfurt,,,3.0,3.0
1991-09-21,,Leverkusen,4–0,Dresden,,,4.0,0.0
1991-09-21,,Stuttgart,4–1,Kaiserslautern,,,4.0,1.0
1991-09-22,,MSV Duisburg,2–0,Schalke 04,,,2.0,0.0
,,,,,,,,
1991-09-27,,Nürnberg,1–1,Bayern Munich,,,1.0,1.0
1991-09-27,,Köln,1–1,Wattenscheid,,,1.0,1.0
1991-09-27,,Bochum,0–2,Leverkusen,,,0.0,2.0
1991-09-28,,Eint Frankfurt,3–0,Dortmund,,,3.0,0.0
1991-09-28,,Dresden,0–0,MSV Duisburg,,,0.0,0.0
1991-09-28,,Schalke 04,3–1,Karlsruher,,,3.0,1.0
1991-09-28,,Düsseldorf,0–0,Werder Bremen,,,0.0,0.0
1991-09-28,,Kaiserslautern,4–2,M'Gladbach,,,4.0,2.0
1991-09-28,,Hamburger SV,1–1,Stuttgart,,,1.0,1.0
1991-09-28,,S'gart Kickers,1–1,Hansa Rostock,,,1.0,1.0
,,,,,,,,
1991-10-04,,Dortmund,3–2,Nürnberg,,,3.0,2.0
1991-10-04,,Karlsruher,1–0,Dresden,,,1.0,0.0
1991-10-04,,MSV Duisburg,1–1,Bochum,,,1.0,1.0
1991-10-05,,Hansa Rostock,3–1,Düsseldorf,,,3.0,1.0
1991-10-05,,Werder Bremen,2–1,Schalke 04,,,2.0,1.0
1991-10-05,,Wattenscheid,1–0,Kaiserslautern,,,1.0,0.0
1991-10-05,,M'Gladbach,1–0,Hamburger SV,,,1.0,0.0
1991-10-05,,Stuttgart,1–2,Eint Frankfurt,,,1.0,2.0
1991-10-05,,Leverkusen,1–1,Köln,,,1.0,1.0
1991-10-05,,Bayern Munich,1–4,S'gart Kickers,,,1.0,4.0
,,,,,,,,
1991-10-09,,S'gart Kickers,0–1,MSV Duisburg,,,0.0,1.0
,,,,,,,,
1991-10-11,,Eint Frankfurt,0–0,M'Gladbach,,,0.0,0.0
1991-10-11,,Nürnberg,4–3,Stuttgart,,,4.0,3.0
1991-10-11,,Bochum,1–3,Karlsruher,,,1.0,3.0
1991-10-12,,Schalke 04,5–0,Hansa Rostock,,,5.0,0.0
1991-10-12,,Dresden,2–1,Werder Bremen,,,2.0,1.0
1991-10-12,,Kaiserslautern,2–1,Leverkusen,,,2.0,1.0
1991-10-12,,Hamburger SV,0–1,Wattenscheid,,,0.0,1.0
1991-10-12,,S'gart Kickers,0–1,Düsseldorf,,,0.0,1.0
1991-10-12,,Köln,1–1,MSV Duisburg,,,1.0,1.0
1991-10-12,,Bayern Munich,0–3,Dortmund,,,0.0,3.0
,,,,,,,,
1991-10-18,,M'Gladbach,1–0,Nürnberg,,,1.0,0.0
1991-10-18,,Werder Bremen,3–0,Bochum,,,3.0,0.0
1991-10-18,,MSV Duisburg,1–1,Kaiserslautern,,,1.0,1.0
1991-10-19,,Stuttgart,3–2,Bayern Munich,,,3.0,2.0
1991-10-19,,Düsseldorf,1–1,Schalke 04,,,1.0,1.0
1991-10-19,,Leverkusen,1–1,Hamburger SV,,,1.0,1.0
1991-10-19,,Karlsruher,0–1,Köln,,,0.0,1.0
1991-10-19,,Wattenscheid,2–4,Eint Frankfurt,,,2.0,4.0
1991-10-19,,Hansa Rostock,3–0,Dresden,,,3.0,0.0
1991-10-20,,Dortmund,3–1,S'gart Kickers,,,3.0,1.0
,,,,,,,,
1991-10-25,,Bochum,3–2,Hansa Rostock,,,3.0,2.0
1991-10-25,,Nürnberg,3–1,Wattenscheid,,,3.0,1.0
1991-10-25,,Dresden,2–0,Düsseldorf,,,2.0,0.0
1991-10-26,,Kaiserslautern,3–0,Karlsruher,,,3.0,0.0
1991-10-26,,Eint Frankfurt,0–1,Leverkusen,,,0.0,1.0
1991-10-26,,Bayern Munich,3–0,M'Gladbach,,,3.0,0.0
1991-10-26,,S'gart Kickers,1–1,Schalke 04,,,1.0,1.0
1991-10-26,,Köln,5–0,Werder Bremen,,,5.0,0.0
1991-10-26,,Dortmund,0–0,Stuttgart,,,0.0,0.0
1991-10-26,,Hamburger SV,1–1,MSV Duisburg,,,1.0,1.0
,,,,,,,,
1991-11-01,,Wattenscheid,0–0,Bayern Munich,,,0.0,0.0
1991-11-01,,MSV Duisburg,3–6,Eint Frankfurt,,,3.0,6.0
1991-11-01,,Werder Bremen,0–2,Kaiserslautern,,,0.0,2.0
1991-11-02,,Leverkusen,0–1,Nürnberg,,,0.0,1.0
1991-11-02,,M'Gladbach,1–1,Dortmund,,,1.0,1.0
1991-11-02,,Schalke 04,1–1,Dresden,,,1.0,1.0
1991-11-02,,Karlsruher,4–1,Hamburger SV,,,4.0,1.0
1991-11-02,,Düsseldorf,3–0,Bochum,,,3.0,0.0
1991-11-02,,Stuttgart,3–1,S'gart Kickers,,,3.0,1.0
1991-11-02,,Hansa Rostock,1–1,Köln,,,1.0,1.0
,,,,,,,,
1991-11-08,,Nürnberg,1–1,MSV Duisburg,,,1.0,1.0
1991-11-08,,Dortmund,1–1,Wattenscheid,,,1.0,1.0
1991-11-09,,Köln,4–1,Düsseldorf,,,4.0,1.0
1991-11-09,,Dresden,2–2,S'gart Kickers,,,2.0,2.0
1991-11-09,,Bayern Munich,2–2,Leverkusen,,,2.0,2.0
1991-11-09,,Kaiserslautern,3–0,Hansa Rostock,,,3.0,0.0
1991-11-09,,Eint Frankfurt,1–1,Karlsruher,,,1.0,1.0
1991-11-09,,Bochum,1–0,Schalke 04,,,1.0,0.0
1991-11-09,,Stuttgart,0–1,M'Gladbach,,,0.0,1.0
1991-11-10,,Hamburger SV,0–1,Werder Bremen,,,0.0,1.0
,,,,,,,,
1991-11-15,,MSV Duisburg,1–1,Bayern Munich,,,1.0,1.0
1991-11-15,,Werder Bremen,1–0,Eint Frankfurt,,,1.0,0.0
1991-11-15,,Wattenscheid,1–3,Stuttgart,,,1.0,3.0
1991-11-16,,Düsseldorf,1–0,Kaiserslautern,,,1.0,0.0
1991-11-16,,Dresden,0–0,Bochum,,,0.0,0.0
1991-11-16,,Schalke 04,3–0,Köln,,,3.0,0.0
1991-11-16,,Hansa Rostock,1–2,Hamburger SV,,,1.0,2.0
1991-11-16,,Karlsruher,1–0,Nürnberg,,,1.0,0.0
1991-11-16,,Leverkusen,0–2,Dortmund,,,0.0,2.0
1991-11-16,,S'gart Kickers,3–0,M'Gladbach,,,3.0,0.0
,,,,,,,,
1991-11-22,,M'Gladbach,1–0,Wattenscheid,,,1.0,0.0
1991-11-22,,Bochum,2–2,S'gart Kickers,,,2.0,2.0
1991-11-23,,Hamburger SV,1–1,Düsseldorf,,,1.0,1.0
1991-11-23,,Kaiserslautern,1–1,Schalke 04,,,1.0,1.0
1991-11-23,,Nürnberg,1–0,Werder Bremen,,,1.0,0.0
1991-11-23,,Bayern Munich,1–0,Karlsruher,,,1.0,0.0
1991-11-23,,Stuttgart,2–0,Leverkusen,,,2.0,0.0
1991-11-23,,Dortmund,2–1,MSV Duisburg,,,2.0,1.0
1991-11-23,,Eint Frankfurt,2–0,Hansa Rostock,,,2.0,0.0
,,,,,,,,
1991-11-29,,Wattenscheid,4–1,S'gart Kickers,,,4.0,1.0
1991-11-29,,Dortmund,1–0,Karlsruher,,,1.0,0.0
1991-11-29,,M'Gladbach,2–2,Leverkusen,,,2.0,2.0
1991-11-30,,Nürnberg,0–0,Hansa Rostock,,,0.0,0.0
1991-11-30,,Köln,1–0,Bochum,,,1.0,0.0
1991-11-30,,Bayern Munich,3–4,Werder Bremen,,,3.0,4.0
1991-11-30,,Eint Frankfurt,1–1,Düsseldorf,,,1.0,1.0
1991-11-30,,Stuttgart,2–0,MSV Duisburg,,,2.0,0.0
1991-11-30,,Kaiserslautern,4–1,Dresden,,,4.0,1.0
1991-11-30,,Hamburger SV,2–1,Schalke 04,,,2.0,1.0
,,,,,,,,
1991-12-05,,Schalke 04,1–1,Eint Frankfurt,,,1.0,1.0
1991-12-06,,Werder Bremen,0–1,Dortmund,,,0.0,1.0
1991-12-06,,Düsseldorf,1–2,Nürnberg,,,1.0,2.0
1991-12-07,,Karlsruher,0–0,Stuttgart,,,0.0,0.0
1991-12-07,,Hansa Rostock,2–1,Bayern Munich,,,2.0,1.0
1991-12-07,,Leverkusen,6–1,Wattenscheid,,,6.0,1.0
1991-12-07,,Bochum,0–0,Kaiserslautern,,,0.0,0.0
1991-12-07,,S'gart Kickers,0–3,Köln,,,0.0,3.0
1991-12-07,,Dresden,3–0,Hamburger SV,,,3.0,0.0
1991-12-08,,MSV Duisburg,1–1,M'Gladbach,,,1.0,1.0
,,,,,,,,
1991-12-10,,Köln,1–1,Dresden,,,1.0,1.0
,,,,,,,,
1991-12-13,,Dortmund,4–1,Hansa Rostock,,,4.0,1.0
1991-12-13,,M'Gladbach,1–0,Karlsruher,,,1.0,0.0
1991-12-13,,Hamburger SV,0–0,Bochum,,,0.0,0.0
1991-12-14,,Kaiserslautern,2–1,Köln,,,2.0,1.0
1991-12-14,,Stuttgart,1–1,Werder Bremen,,,1.0,1.0
1991-12-14,,Wattenscheid,2–0,MSV Duisburg,,,2.0,0.0
1991-12-14,,Nürnberg,0–1,Schalke 04,,,0.0,1.0
1991-12-14,,Eint Frankfurt,3–0,Dresden,,,3.0,0.0
1991-12-14,,Leverkusen,3–1,S'gart Kickers,,,3.0,1.0
1991-12-14,,Bayern Munich,3–1,Düsseldorf,,,3.0,1.0
,,,,,,,,
1992-02-07,,Dresden,1–2,Nürnberg,,,1.0,2.0
1992-02-07,,Karlsruher,1–2,Wattenscheid,,,1.0,2.0
1992-02-07,,Bochum,0–0,Eint Frankfurt,,,0.0,0.0
1992-02-08,,Hansa Rostock,2–0,Stuttgart,,,2.0,0.0
1992-02-08,,Köln,0–0,Hamburger SV,,,0.0,0.0
1992-02-08,,S'gart Kickers,1–1,Kaiserslautern,,,1.0,1.0
1992-02-08,,Schalke 04,1–1,Bayern Munich,,,1.0,1.0
1992-02-08,,Werder Bremen,0–0,M'Gladbach,,,0.0,0.0
1992-02-08,,Düsseldorf,1–1,Dortmund,,,1.0,1.0
1992-02-09,,MSV Duisburg,1–2,Leverkusen,,,1.0,2.0
,,,,,,,,
1992-02-14,,Wattenscheid,0–1,Werder Bremen,,,0.0,1.0
1992-02-14,,Nürnberg,1–0,Bochum,,,1.0,0.0
1992-02-14,,MSV Duisburg,1–1,S'gart Kickers,,,1.0,1.0
1992-02-15,,Leverkusen,2–0,Karlsruher,,,2.0,0.0
1992-02-15,,Dortmund,2–0,Schalke 04,,,2.0,0.0
1992-02-15,,M'Gladbach,1–1,Hansa Rostock,,,1.0,1.0
1992-02-15,,Stuttgart,3–1,Düsseldorf,,,3.0,1.0
1992-02-15,,Bayern Munich,1–2,Dresden,,,1.0,2.0
1992-02-15,,Eint Frankfurt,1–2,Köln,,,1.0,2.0
1992-02-16,,Hamburger SV,0–1,Kaiserslautern,,,0.0,1.0
,,,,,,,,
1992-02-20,,Bochum,0–5,Bayern Munich,,,0.0,5.0
1992-02-21,,Karlsruher,2–2,MSV Duisburg,,,2.0,2.0
1992-02-21,,Werder Bremen,1–1,Leverkusen,,,1.0,1.0
1992-02-22,,Hansa Rostock,1–1,Wattenscheid,,,1.0,1.0
1992-02-22,,Dresden,0–0,Dortmund,,,0.0,0.0
1992-02-22,,Köln,4–0,Nürnberg,,,4.0,0.0
1992-02-22,,Kaiserslautern,1–1,Eint Frankfurt,,,1.0,1.0
1992-02-22,,S'gart Kickers,1–1,Hamburger SV,,,1.0,1.0
1992-02-22,,Düsseldorf,1–1,M'Gladbach,,,1.0,1.0
1992-02-22,,Schalke 04,0–1,Stuttgart,,,0.0,1.0
,,,,,,,,
1992-02-28,,Wattenscheid,4–1,Düsseldorf,,,4.0,1.0
1992-02-28,,MSV Duisburg,0–0,Werder Bremen,,,0.0,0.0
1992-02-28,,Leverkusen,3–0,Hansa Rostock,,,3.0,0.0
1992-02-29,,Nürnberg,3–2,Kaiserslautern,,,3.0,2.0
1992-02-29,,Eint Frankfurt,2–1,Hamburger SV,,,2.0,1.0
1992-02-29,,Bayern Munich,0–0,Köln,,,0.0,0.0
1992-02-29,,Karlsruher,3–1,S'gart Kickers,,,3.0,1.0
1992-02-29,,Dortmund,1–1,Bochum,,,1.0,1.0
1992-02-29,,Stuttgart,1–1,Dresden,,,1.0,1.0
1992-02-29,,M'Gladbach,1–1,Schalke 04,,,1.0,1.0
,,,,,,,,
1992-03-06,,Hansa Rostock,0–0,MSV Duisburg,,,0.0,0.0
1992-03-06,,Dresden,1–2,M'Gladbach,,,1.0,2.0
1992-03-06,,Schalke 04,1–1,Wattenscheid,,,1.0,1.0
1992-03-07,,Bochum,0–2,Stuttgart,,,0.0,2.0
1992-03-07,,Köln,1–2,Dortmund,,,1.0,2.0
1992-03-07,,S'gart Kickers,0–2,Eint Frankfurt,,,0.0,2.0
1992-03-07,,Kaiserslautern,4–0,Bayern Munich,,,4.0,0.0
1992-03-07,,Werder Bremen,0–0,Karlsruher,,,0.0,0.0
1992-03-07,,Düsseldorf,1–1,Leverkusen,,,1.0,1.0
1992-03-08,,Hamburger SV,0–2,Nürnberg,,,0.0,2.0
,,,,,,,,
1992-03-13,,Werder Bremen,1–3,S'gart Kickers,,,1.0,3.0
1992-03-13,,M'Gladbach,1–2,Bochum,,,1.0,2.0
1992-03-13,,Nürnberg,1–3,Eint Frankfurt,,,1.0,3.0
1992-03-14,,Karlsruher,2–1,Hansa Rostock,,,2.0,1.0
1992-03-14,,Bayern Munich,2–0,Hamburger SV,,,2.0,0.0
1992-03-14,,Stuttgart,1–0,Köln,,,1.0,0.0
1992-03-14,,Dortmund,3–1,Kaiserslautern,,,3.0,1.0
1992-03-14,,Leverkusen,2–1,Schalke 04,,,2.0,1.0
1992-03-17,,MSV Duisburg,2–2,Düsseldorf,,,2.0,2.0
,,,,,,,,
1992-03-20,,Dresden,1–0,Leverkusen,,,1.0,0.0
1992-03-20,,Bochum,1–1,Wattenscheid,,,1.0,1.0
1992-03-20,,Hamburger SV,1–1,Dortmund,,,1.0,1.0
1992-03-21,,Eint Frankfurt,3–2,Bayern Munich,,,3.0,2.0
1992-03-21,,Köln,1–1,M'Gladbach,,,1.0,1.0
1992-03-21,,S'gart Kickers,3–1,Nürnberg,,,3.0,1.0
1992-03-21,,Kaiserslautern,0–0,Stuttgart,,,0.0,0.0
1992-03-21,,Schalke 04,3–0,MSV Duisburg,,,3.0,0.0
1992-03-21,,Hansa Rostock,0–0,Werder Bremen,,,0.0,0.0
1992-03-21,,Düsseldorf,2–3,Karlsruher,,,2.0,3.0
,,,,,,,,
1992-03-27,,MSV Duisburg,3–0,Dresden,,,3.0,0.0
1992-03-27,,Wattenscheid,1–2,Köln,,,1.0,2.0
1992-03-27,,Werder Bremen,2–1,Düsseldorf,,,2.0,1.0
1992-03-28,,Hansa Rostock,2–2,S'gart Kickers,,,2.0,2.0
1992-03-28,,Leverkusen,2–0,Bochum,,,2.0,0.0
1992-03-28,,M'Gladbach,1–0,Kaiserslautern,,,1.0,0.0
1992-03-28,,Bayern Munich,1–3,Nürnberg,,,1.0,3.0
1992-03-28,,Dortmund,2–2,Eint Frankfurt,,,2.0,2.0
1992-03-28,,Karlsruher,1–0,Schalke 04,,,1.0,0.0
1992-03-28,,Stuttgart,3–2,Hamburger SV,,,3.0,2.0
,,,,,,,,
1992-03-31,,Wattenscheid,3–0,Dresden,,,3.0,0.0
,,,,,,,,
1992-04-03,,Nürnberg,2–1,Dortmund,,,2.0,1.0
1992-04-03,,Dresden,2–0,Karlsruher,,,2.0,0.0
1992-04-03,,Bochum,2–1,MSV Duisburg,,,2.0,1.0
1992-04-04,,Düsseldorf,0–0,Hansa Rostock,,,0.0,0.0
1992-04-04,,Schalke 04,0–0,Werder Bremen,,,0.0,0.0
1992-04-04,,Köln,1–1,Leverkusen,,,1.0,1.0
1992-04-04,,Hamburger SV,1–0,M'Gladbach,,,1.0,0.0
1992-04-04,,Kaiserslautern,3–2,Wattenscheid,,,3.0,2.0
1992-04-04,,Eint Frankfurt,1–1,Stuttgart,,,1.0,1.0
1992-04-04,,S'gart Kickers,2–4,Bayern Munich,,,2.0,4.0
,,,,,,,,
1992-04-10,,Hansa Rostock,2–0,Schalke 04,,,2.0,0.0
1992-04-10,,Dortmund,3–0,Bayern Munich,,,3.0,0.0
1992-04-10,,Düsseldorf,1–3,S'gart Kickers,,,1.0,3.0
1992-04-11,,MSV Duisburg,1–3,Köln,,,1.0,3.0
1992-04-11,,Wattenscheid,1–1,Hamburger SV,,,1.0,1.0
1992-04-11,,M'Gladbach,1–1,Eint Frankfurt,,,1.0,1.0
1992-04-11,,Leverkusen,3–0,Kaiserslautern,,,3.0,0.0
1992-04-11,,Werder Bremen,2–0,Dresden,,,2.0,0.0
1992-04-11,,Karlsruher,1–1,Bochum,,,1.0,1.0
1992-04-11,,Stuttgart,2–0,Nürnberg,,,2.0,0.0
,,,,,,,,
1992-04-16,,Dresden,2–1,Hansa Rostock,,,2.0,1.0
1992-04-16,,S'gart Kickers,0–1,Dortmund,,,0.0,1.0
1992-04-18,,Bochum,2–2,Werder Bremen,,,2.0,2.0
1992-04-18,,Eint Frankfurt,1–1,Wattenscheid,,,1.0,1.0
1992-04-18,,Nürnberg,2–1,M'Gladbach,,,2.0,1.0
1992-04-18,,Schalke 04,0–0,Düsseldorf,,,0.0,0.0
1992-04-18,,Kaiserslautern,2–1,MSV Duisburg,,,2.0,1.0
1992-04-18,,Hamburger SV,1–1,Leverkusen,,,1.0,1.0
1992-04-18,,Köln,2–3,Karlsruher,,,2.0,3.0
1992-04-18,,Bayern Munich,1–0,Stuttgart,,,1.0,0.0
,,,,,,,,
1992-04-24,,Hansa Rostock,0–2,Bochum,,,0.0,2.0
1992-04-24,,Düsseldorf,1–3,Dresden,,,1.0,3.0
1992-04-24,,Wattenscheid,1–1,Nürnberg,,,1.0,1.0
1992-04-25,,Werder Bremen,1–3,Köln,,,1.0,3.0
1992-04-25,,Karlsruher,2–1,Kaiserslautern,,,2.0,1.0
1992-04-25,,Schalke 04,1–2,S'gart Kickers,,,1.0,2.0
1992-04-25,,MSV Duisburg,0–1,Hamburger SV,,,0.0,1.0
1992-04-25,,Stuttgart,4–2,Dortmund,,,4.0,2.0
1992-04-25,,Leverkusen,1–3,Eint Frankfurt,,,1.0,3.0
1992-04-25,,M'Gladbach,1–1,Bayern Munich,,,1.0,1.0
,,,,,,,,
1992-04-28,,Werder Bremen,1–1,Hamburger SV,,,1.0,1.0
,,,,,,,,
1992-05-01,,Bochum,3–0,Düsseldorf,,,3.0,0.0
1992-05-01,,Kaiserslautern,2–2,Werder Bremen,,,2.0,2.0
1992-05-01,,Nürnberg,1–0,Leverkusen,,,1.0,0.0
1992-05-01,,Bayern Munich,5–2,Wattenscheid,,,5.0,2.0
1992-05-02,,S'gart Kickers,1–3,Stuttgart,,,1.0,3.0
1992-05-02,,Dortmund,2–2,M'Gladbach,,,2.0,2.0
1992-05-02,,Dresden,2–1,Schalke 04,,,2.0,1.0
1992-05-02,,Köln,3–1,Hansa Rostock,,,3.0,1.0
1992-05-02,,Eint Frankfurt,3–0,MSV Duisburg,,,3.0,0.0
1992-05-02,,Hamburger SV,0–1,Karlsruher,,,0.0,1.0
,,,,,,,,
1992-05-05,,Hansa Rostock,0–1,Kaiserslautern,,,0.0,1.0
1992-05-05,,Wattenscheid,0–1,Dortmund,,,0.0,1.0
1992-05-05,,Schalke 04,2–1,Bochum,,,2.0,1.0
1992-05-05,,Düsseldorf,1–3,Köln,,,1.0,3.0
1992-05-05,,Karlsruher,0–2,Eint Frankfurt,,,0.0,2.0
1992-05-05,,MSV Duisburg,3–0,Nürnberg,,,3.0,0.0
1992-05-05,,M'Gladbach,0–1,Stuttgart,,,0.0,1.0
1992-05-05,,Leverkusen,2–1,Bayern Munich,,,2.0,1.0
1992-05-05,,S'gart Kickers,0–0,Dresden,,,0.0,0.0
,,,,,,,,
1992-05-09,,Bochum,1–0,Dresden,,,1.0,0.0
1992-05-09,,M'Gladbach,2–1,S'gart Kickers,,,2.0,1.0
1992-05-09,,Hamburger SV,1–0,Hansa Rostock,,,1.0,0.0
1992-05-09,,Eint Frankfurt,2–2,Werder Bremen,,,2.0,2.0
1992-05-09,,Kaiserslautern,2–0,Düsseldorf,,,2.0,0.0
1992-05-09,,Stuttgart,1–1,Wattenscheid,,,1.0,1.0
1992-05-09,,Dortmund,3–1,Leverkusen,,,3.0,1.0
1992-05-09,,Köln,3–0,Schalke 04,,,3.0,0.0
1992-05-09,,Bayern Munich,4–2,MSV Duisburg,,,4.0,2.0
1992-05-09,,Nürnberg,1–2,Karlsruher,,,1.0,2.0
,,,,,,,,
1992-05-16,,S'gart Kickers,2–0,Bochum,,,2.0,0.0
1992-05-16,,Wattenscheid,3–2,M'Gladbach,,,3.0,2.0
1992-05-16,,Werder Bremen,1–3,Nürnberg,,,1.0,3.0
1992-05-16,,Leverkusen,1–2,Stuttgart,,,1.0,2.0
1992-05-16,,MSV Duisburg,0–1,Dortmund,,,0.0,1.0
1992-05-16,,Dresden,0–0,Köln,,,0.0,0.0
1992-05-16,,Hansa Rostock,2–1,Eint Frankfurt,,,2.0,1.0
1992-05-16,,Düsseldorf,1–0,Hamburger SV,,,1.0,0.0
1992-05-16,,Schalke 04,2–0,Kaiserslautern,,,2.0,0.0
1992-05-16,,Karlsruher,3–0,Bayern Munich,,,3.0,0.0
1992-08-14,,Nürnberg,0–0,Werder Bremen,,,0.0,0.0
1992-08-14,,Kaiserslautern,1–0,Köln,,,1.0,0.0
1992-08-14,,Leverkusen,1–1,Saarbrücken,,,1.0,1.0
1992-08-15,,Schalke 04,3–4,Wattenscheid,,,3.0,4.0
1992-08-15,,Karlsruher,4–2,M'Gladbach,,,4.0,2.0
1992-08-15,,Eint Frankfurt,1–1,Dresden,,,1.0,1.0
1992-08-15,,Uerdingen,0–3,Bayern Munich,,,0.0,3.0
1992-08-15,,Hamburger SV,1–1,Stuttgart,,,1.0,1.0
1992-08-15,,Bochum,2–2,Dortmund,,,2.0,2.0
,,,,,,,,
1992-08-21,,Wattenscheid,1–1,Uerdingen,,,1.0,1.0
1992-08-21,,Dresden,1–1,Hamburger SV,,,1.0,1.0
1992-08-22,,Stuttgart,3–0,Nürnberg,,,3.0,0.0
1992-08-22,,Köln,0–1,Eint Frankfurt,,,0.0,1.0
1992-08-22,,M'Gladbach,1–1,Bochum,,,1.0,1.0
1992-08-22,,Saarbrücken,2–0,Karlsruher,,,2.0,0.0
1992-08-22,,Bayern Munich,1–0,Kaiserslautern,,,1.0,0.0
1992-08-22,,Dortmund,0–2,Schalke 04,,,0.0,2.0
1992-08-22,,Werder Bremen,1–1,Leverkusen,,,1.0,1.0
,,,,,,,,
1992-08-25,,Schalke 04,1–2,M'Gladbach,,,1.0,2.0
1992-08-25,,Hamburger SV,0–1,Nürnberg,,,0.0,1.0
1992-08-25,,Uerdingen,0–2,Dortmund,,,0.0,2.0
1992-08-25,,Leverkusen,4–0,Stuttgart,,,4.0,0.0
1992-08-26,,Dresden,3–0,Köln,,,3.0,0.0
1992-08-26,,Karlsruher,5–2,Werder Bremen,,,5.0,2.0
1992-08-26,,Kaiserslautern,4–1,Wattenscheid,,,4.0,1.0
1992-08-26,,Bochum,4–0,Saarbrücken,,,4.0,0.0
,,,,,,,,
1992-08-28,,Nürnberg,0–1,Leverkusen,,,0.0,1.0
1992-08-28,,M'Gladbach,0–4,Uerdingen,,,0.0,4.0
