date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1988-10-22,,Uerdingen,0–0,M'Gladbach,,,0.0,0.0
1988-10-22,,Mannheim,0–3,Bayern Munich,,,0.0,3.0
1988-10-22,,Eint Frankfurt,0–1,Hamburger SV,,,0.0,1.0
1988-10-22,,Karlsruher,2–0,Stuttgart,,,2.0,0.0
1988-10-22,,Bochum,2–0,Kaiserslautern,,,2.0,0.0
1988-10-22,,Köln,2–0,Werder Bremen,,,2.0,0.0
1988-10-22,,St Pauli,1–0,Dortmund,,,1.0,0.0
,,,,,,,,
1988-10-27,,Leverkusen,1–1,Bochum,,,1.0,1.0
1988-10-29,,Dortmund,0–4,Köln,,,0.0,4.0
1988-10-29,,Bayern Munich,3–0,S'gart Kickers,,,3.0,0.0
1988-10-29,,Hamburger SV,1–1,Karlsruher,,,1.0,1.0
1988-10-29,,Kaiserslautern,3–0,Eint Frankfurt,,,3.0,0.0
1988-10-29,,M'Gladbach,1–1,Nürnberg,,,1.0,1.0
1988-10-29,,Stuttgart,2–0,Mannheim,,,2.0,0.0
1988-10-29,,Hannover 96,2–2,St Pauli,,,2.0,2.0
1988-10-29,,Werder Bremen,3–1,Uerdingen,,,3.0,1.0
,,,,,,,,
1988-11-01,,Bochum,1–0,Stuttgart,,,1.0,0.0
,,,,,,,,
1988-11-04,,Bochum,1–2,M'Gladbach,,,1.0,2.0
1988-11-05,,Karlsruher,4–1,Kaiserslautern,,,4.0,1.0
1988-11-05,,Köln,1–0,Hannover 96,,,1.0,0.0
1988-11-05,,Nürnberg,0–1,Werder Bremen,,,0.0,1.0
1988-11-05,,Stuttgart,4–2,Hamburger SV,,,4.0,2.0
1988-11-05,,Eint Frankfurt,1–1,Leverkusen,,,1.0,1.0
1988-11-05,,Uerdingen,0–0,Dortmund,,,0.0,0.0
1988-11-05,,St Pauli,0–0,Bayern Munich,,,0.0,0.0
1988-11-05,,Mannheim,2–2,S'gart Kickers,,,2.0,2.0
,,,,,,,,
1988-11-12,,Bayern Munich,2–0,Köln,,,2.0,0.0
1988-11-12,,M'Gladbach,2–1,Eint Frankfurt,,,2.0,1.0
1988-11-12,,Dortmund,4–0,Nürnberg,,,4.0,0.0
1988-11-12,,Werder Bremen,2–0,Bochum,,,2.0,0.0
1988-11-12,,Kaiserslautern,6–1,Stuttgart,,,6.0,1.0
1988-11-12,,S'gart Kickers,2–2,St Pauli,,,2.0,2.0
1988-11-12,,Hannover 96,0–5,Uerdingen,,,0.0,5.0
1988-11-12,,Leverkusen,1–0,Karlsruher,,,1.0,0.0
1988-11-12,,Hamburger SV,5–1,Mannheim,,,5.0,1.0
,,,,,,,,
1988-11-15,,Bayern Munich,3–3,Stuttgart,,,3.0,3.0
,,,,,,,,
1988-11-16,,Mannheim,1–1,Hannover 96,,,1.0,1.0
1988-11-16,,S'gart Kickers,0–6,Werder Bremen,,,0.0,6.0
1988-11-16,,Uerdingen,3–1,Kaiserslautern,,,3.0,1.0
1988-11-16,,Eint Frankfurt,1–0,Karlsruher,,,1.0,0.0
1988-11-16,,Köln,3–0,Leverkusen,,,3.0,0.0
,,,,,,,,
1988-11-19,,Stuttgart,0–0,Leverkusen,,,0.0,0.0
1988-11-19,,Eint Frankfurt,0–0,Werder Bremen,,,0.0,0.0
1988-11-19,,Nürnberg,1–0,Hannover 96,,,1.0,0.0
1988-11-19,,Bochum,2–2,Dortmund,,,2.0,2.0
1988-11-19,,Kaiserslautern,0–0,Hamburger SV,,,0.0,0.0
1988-11-19,,Köln,5–1,S'gart Kickers,,,5.0,1.0
1988-11-19,,Uerdingen,1–3,Bayern Munich,,,1.0,3.0
1988-11-19,,St Pauli,2–1,Mannheim,,,2.0,1.0
,,,,,,,,
1988-11-25,,Werder Bremen,3–1,Karlsruher,,,3.0,1.0
1988-11-26,,Hannover 96,3–2,Bochum,,,3.0,2.0
1988-11-26,,S'gart Kickers,3–1,Uerdingen,,,3.0,1.0
1988-11-26,,Leverkusen,1–2,Hamburger SV,,,1.0,2.0
1988-11-26,,M'Gladbach,2–2,Stuttgart,,,2.0,2.0
1988-11-26,,St Pauli,0–1,Köln,,,0.0,1.0
1988-11-26,,Bayern Munich,1–0,Nürnberg,,,1.0,0.0
1988-11-26,,Dortmund,6–0,Eint Frankfurt,,,6.0,0.0
1988-11-27,,Mannheim,0–4,Kaiserslautern,,,0.0,4.0
,,,,,,,,
1988-11-29,,Werder Bremen,2–0,Dortmund,,,2.0,0.0
,,,,,,,,
1988-12-02,,Köln,1–0,Mannheim,,,1.0,0.0
1988-12-02,,Kaiserslautern,0–0,Leverkusen,,,0.0,0.0
1988-12-03,,Karlsruher,0–0,Dortmund,,,0.0,0.0
1988-12-03,,Nürnberg,3–3,S'gart Kickers,,,3.0,3.0
1988-12-03,,Uerdingen,0–0,St Pauli,,,0.0,0.0
1988-12-03,,Bochum,0–0,Bayern Munich,,,0.0,0.0
1988-12-03,,Stuttgart,3–3,Werder Bremen,,,3.0,3.0
1988-12-03,,Eint Frankfurt,1–0,Hannover 96,,,1.0,0.0
,,,,,,,,
1989-02-18,,Eint Frankfurt,2–2,Bayern Munich,,,2.0,2.0
1989-02-18,,Karlsruher,2–0,Hannover 96,,,2.0,0.0
1989-02-18,,Uerdingen,1–1,Köln,,,1.0,1.0
1989-02-18,,Kaiserslautern,0–0,M'Gladbach,,,0.0,0.0
1989-02-18,,Leverkusen,3–0,Mannheim,,,3.0,0.0
1989-02-18,,Stuttgart,1–3,Dortmund,,,1.0,3.0
1989-02-18,,Nürnberg,5–3,St Pauli,,,5.0,3.0
1989-02-18,,Hamburger SV,2–0,Werder Bremen,,,2.0,0.0
,,,,,,,,
1989-02-22,,Karlsruher,2–2,M'Gladbach,,,2.0,2.0
,,,,,,,,
1989-02-25,,Dortmund,2–2,Hamburger SV,,,2.0,2.0
1989-02-25,,M'Gladbach,2–0,Leverkusen,,,2.0,0.0
1989-02-25,,Bayern Munich,3–2,Karlsruher,,,3.0,2.0
1989-02-25,,Mannheim,3–3,Uerdingen,,,3.0,3.0
1989-02-25,,Werder Bremen,1–0,Kaiserslautern,,,1.0,0.0
1989-02-25,,Hannover 96,2–0,Stuttgart,,,2.0,0.0
1989-02-25,,Köln,1–1,Nürnberg,,,1.0,1.0
1989-02-25,,St Pauli,1–0,Bochum,,,1.0,0.0
1989-02-25,,S'gart Kickers,0–1,Eint Frankfurt,,,0.0,1.0
,,,,,,,,
1989-03-04,,Eint Frankfurt,1–1,St Pauli,,,1.0,1.0
1989-03-04,,M'Gladbach,1–1,Mannheim,,,1.0,1.0
1989-03-04,,Kaiserslautern,3–2,Dortmund,,,3.0,2.0
1989-03-04,,Karlsruher,1–0,S'gart Kickers,,,1.0,0.0
1989-03-04,,Bochum,1–3,Köln,,,1.0,3.0
1989-03-04,,Stuttgart,1–2,Bayern Munich,,,1.0,2.0
1989-03-04,,Leverkusen,1–0,Werder Bremen,,,1.0,0.0
1989-03-04,,Nürnberg,1–0,Uerdingen,,,1.0,0.0
1989-03-04,,Hamburger SV,4–1,Hannover 96,,,4.0,1.0
,,,,,,,,
1989-03-10,,Hannover 96,0–0,Kaiserslautern,,,0.0,0.0
1989-03-10,,Werder Bremen,2–0,M'Gladbach,,,2.0,0.0
1989-03-11,,Bayern Munich,1–0,Hamburger SV,,,1.0,0.0
1989-03-11,,Köln,3–2,Eint Frankfurt,,,3.0,2.0
1989-03-11,,Dortmund,2–1,Leverkusen,,,2.0,1.0
1989-03-11,,S'gart Kickers,0–2,Stuttgart,,,0.0,2.0
1989-03-11,,Mannheim,2–1,Nürnberg,,,2.0,1.0
1989-03-11,,St Pauli,1–0,Karlsruher,,,1.0,0.0
1989-03-11,,Uerdingen,3–1,Bochum,,,3.0,1.0
,,,,,,,,
1989-03-17,,Hamburger SV,3–0,S'gart Kickers,,,3.0,0.0
1989-03-18,,Eint Frankfurt,0–2,Uerdingen,,,0.0,2.0
1989-03-18,,Werder Bremen,2–1,Mannheim,,,2.0,1.0
1989-03-18,,M'Gladbach,1–1,Dortmund,,,1.0,1.0
1989-03-18,,Karlsruher,0–0,Köln,,,0.0,0.0
